bucket,family,variant,category,search_query,search_results_requested,search_results_returned,already_present,selected_this_run,selected_total_after_run,unique_channels,error
Galaxy S26,Samsung,base,battery,galaxy s26 battery,45,25,2,1,3,5,
Galaxy S26,Samsung,base,camera,galaxy s26 camera,45,45,2,4,6,7,
Galaxy S26,Samsung,base,issue,galaxy s26 overheating issue problem bug,45,45,0,0,0,5,
Galaxy S26,Samsung,base,review,galaxy s26 review,45,25,2,4,6,9,
Galaxy S26 Ultra,Samsung,premium,battery,s26 ultra battery,45,45,2,4,6,12,
Galaxy S26 Ultra,Samsung,premium,camera,s26 ultra camera,45,45,2,4,6,12,
Galaxy S26 Ultra,Samsung,premium,issue,s26 ultra overheating issue problem bug,45,45,2,4,6,11,
Galaxy S26 Ultra,Samsung,premium,review,s26 ultra review,45,45,2,4,6,11,
Pixel 10,Google,base,battery,pixel 10 battery,45,45,2,4,6,12,
Pixel 10,Google,base,camera,pixel 10 camera,45,25,2,4,6,10,
Pixel 10,Google,base,issue,pixel 10 overheating issue problem bug,45,45,2,4,6,11,
Pixel 10,Google,base,review,pixel 10 review,45,45,2,4,6,12,
Pixel 10 Pro,Google,premium,battery,pixel 10 pro battery,45,45,2,4,6,11,
Pixel 10 Pro,Google,premium,camera,pixel 10 pro camera,45,45,2,4,6,10,
Pixel 10 Pro,Google,premium,issue,pixel 10 pro overheating issue problem bug,45,45,1,2,3,9,
Pixel 10 Pro,Google,premium,review,pixel 10 pro review,45,45,2,4,6,10,
Xiaomi 15,Xiaomi,base,battery,xiaomi 15 battery,45,45,2,4,6,11,
Xiaomi 15,Xiaomi,base,camera,xiaomi 15 camera,45,45,2,4,6,11,
Xiaomi 15,Xiaomi,base,issue,xiaomi 15 overheating issue problem bug,45,7,2,2,4,9,
Xiaomi 15,Xiaomi,base,review,xiaomi 15 review,45,45,2,4,6,11,
Xiaomi 15 Ultra,Xiaomi,premium,battery,xiaomi 15 ultra battery,45,45,2,4,6,11,
Xiaomi 15 Ultra,Xiaomi,premium,camera,xiaomi 15 ultra camera,45,45,2,4,6,11,
Xiaomi 15 Ultra,Xiaomi,premium,issue,xiaomi 15 ultra overheating issue problem bug,45,45,2,1,3,9,
Xiaomi 15 Ultra,Xiaomi,premium,review,xiaomi 15 ultra review,45,45,2,4,6,12,
iPhone 17,Apple,base,battery,iphone 17 battery,45,45,2,4,6,11,
iPhone 17,Apple,base,camera,iphone 17 camera,45,45,2,4,6,12,
iPhone 17,Apple,base,issue,iphone 17 overheating issue problem bug,45,45,2,2,4,9,
iPhone 17,Apple,base,review,iphone 17 review,45,45,2,4,6,12,
iPhone 17 Pro,Apple,premium,battery,iphone 17 pro battery,45,45,2,4,6,11,
iPhone 17 Pro,Apple,premium,camera,iphone 17 pro camera,45,45,2,4,6,11,
iPhone 17 Pro,Apple,premium,issue,iphone 17 pro overheating issue problem bug,45,45,2,4,6,11,
iPhone 17 Pro,Apple,premium,review,iphone 17 pro review,45,45,2,4,6,12,
